Idusuario,Deslogin,Dessenha,Dtcadastro
13,,,2018-07-06 23:05:38
16,,,2018-07-06 23:06:38
20,,,2018-07-06 23:39:11
10,aluno,123mudar,2018-07-05 23:41:43
11,aluno,123mudar,2018-07-05 23:45:30
12,aluno,123mudar,2018-07-05 23:50:08
14,aluno,123mudar,2018-07-06 23:06:17
15,aluno,123mudar,2018-07-06 23:06:22
17,aluno2,123mudar,2018-07-06 23:16:52
18,aluno2,123mudar,2018-07-06 23:17:42
19,aluno2,123mudar,2018-07-06 23:37:42
21,aluno2,123mudar,2018-07-06 23:41:05
22,aluno2,123mudar,2018-07-06 23:41:40
23,aluno2,123mudar,2018-07-06 23:44:02
25,aluno2,123mudar,2018-07-06 23:46:37
26,aluno2,123mudar,2018-07-06 23:48:08
27,aluno2,123mudar,2018-07-06 23:49:23
28,aluno2,123mudar,2018-07-06 23:50:59
29,aluno2,123mudar,2018-07-06 23:51:21
9,cheta,and246,2018-07-02 23:17:35
31,Cheta,12345,2018-07-10 23:06:59
7,Teste,1234556,2018-07-02 23:16:19
8,Teste,1234556,2018-07-02 23:17:34
30,user,12345,2018-07-10 23:06:59
